fips,2010,2011,2012,2013,2014
13279,27317,27240,27217,27302,27282
13281,10534,10477,10487,10752,11098
13283,6889,6821,6751,6665,6778
13285,67154,67773,68472,69007,69469
13287,8944,8847,8369,8143,8153
13289,8965,8813,8501,8462,8320
13291,21324,21369,21481,21607,21984
13293,27067,26943,26615,26522,26256
13295,68889,68618,68184,68317,68218
13297,83979,84441,84867,85987,87615
13299,36366,36177,35814,35704,35515
13301,5792,5701,5563,5554,5520
13303,21121,21015,20857,20679,20635
13305,30116,30355,30371,30058,29949
13307,2775,2797,2792,2707,2649
13309,7761,8059,7908,7939,7995
13311,27237,27403,27577,27781,27970
13313,102769,103076,103187,103087,103542
13315,9271,9165,9027,8996,8847
13317,10491,10194,10046,9944,9940
13319,9516,9457,9542,9436,9326
13321,21734,21617,21470,21064,20940
15001,185325,187039,188946,191409,194190
15003,956336,966559,976746,987019,991788
15005,90,90,89,89,89
15007,67217,67799,68553,69679,70475
15009,154982,156764,158432,160791,163019
16001,393412,401100,408891,416556,426236
16003,3956,3982,3908,3831,3861
16005,83000,83562,83741,83322,83347
16007,5968,5952,5889,5937,5957
16009,9287,9168,9125,9049,9118
16011,45736,45884,45493,45408,45269
16013,21295,21104,21140,21322,21482
16015,7019,7011,6803,6744,6824
16017,40927,40831,40447,40703,41585
16019,104666,105797,106880,107550,108623
16021,11015,10821,10835,10865,10979
16023,2899,2798,2722,2628,2622
16025,1108,1099,1075,1039,1039
16027,189339,191386,193856,199040,203143
16029,6976,6857,6785,6830,6837
16031,23078,23146,23270,23342,23540
16033,980,954,873,861,867
16035,8627,8626,8582,8604,8562
16037,4358,4351,4338,4235,4140
16039,27108,26187,26199,26156,26094
16041,12777,12806,12811,12849,13021
16043,13237,13126,12979,12912,12867
16045,16681,16727,16692,16694,16866
16047,15470,15363,15216,15094,15064
16049,16297,16462,16399,16201,16215
16051,26226,26327,26657,26868,27021
16053,22449,22514,22515,22606,22818
16055,138890,141045,142297,144357,147326
16057,37274,37881,38157,38221,38411
16059,7946,7979,7763,7725,7726
16061,3817,3793,3836,3825,3838
16063,5213,5138,5256,5307,5316
16065,37595,37884,37680,37572,38038
16067,20065,20167,20089,20310,20323
16069,39321,39431,39577,39938,40007
16071,4296,4233,4223,4269,4184
16073,11472,11403,11409,11423,11353
16075,22638,22550,22673,22591,22836
16077,7851,7768,7779,7694,7617
16079,12718,12655,12699,12685,12390
16081,10154,10179,10087,10301,10341
16083,77527,77993,78392,79839,80914
16085,9781,9606,9511,9586,9826
16087,10190,10134,10041,9954,10021
17001,67162,67172,67199,67046,66988
17003,8206,8013,7750,7643,7492
17005,17773,17731,17621,17461,17269
17007,54144,54223,53880,53910,53869
17009,6911,6877,6912,6857,6832
17011,34905,34640,34337,34084,33840
17013,5079,5067,5022,5042,4956
17015,15364,15185,15003,14868,14715
17017,13639,13647,13422,13335,13156
17019,201460,202706,204009,205761,207133
17021,34783,34720,34511,34171,33892
17023,16296,16219,16304,16203,16180
17025,13818,13731,13733,13572,13520
17027,37819,38130,38057,37895,37857
17029,53931,53751,53631,53641,53320
17031,5198716,5214988,5232340,5246635,5246456
17033,19808,19783,19627,19514,19393
17035,11041,11068,10936,10871,10833
17037,105119,104520,104693,104802,105462
17039,16578,16548,16492,16401,16284
17041,19957,19826,19832,19829,19889
17043,917911,923352,926933,931522,932708
17045,18505,18396,18153,17958,17841
17047,6726,6684,6731,6678,6617
17049,34197,34253,34322,34306,34320
17051,22116,22160,22022,22037,21870
17053,14078,13954,13998,13814,13688
17055,40023,40002,39862,39572,39411
17057,37071,36973,36659,36369,36007
17059,5578,5510,5414,5401,5291
17061,13877,13841,13616,13617,13434
17063,50098,50045,50150,50149,50425
17065,8449,8416,8364,8329,8296
17067,19093,19019,18835,18531,18564
17069,4304,4281,4257,4158,4129
17071,7325,7201,7019,6909,6916
17073,50432,50267,50071,49750,49635
17075,29663,29510,29289,29017,28879
17077,60386,60366,60214,59981,59677
17079,9706,9740,9644,9577,9623
17081,38804,38791,38730,38721,38534
17083,22964,22850,22732,22638,22571
17085,22660,22621,22380,22218,22254
17087,12610,12635,12756,12648,12601
17089,516020,519923,521843,524277,527306
17091,113462,113453,112926,112193,111375
17093,115240,116711,118145,119525,121350
17095,52919,52700,52314,52235,52069
17097,704141,701012,701513,704000,705186
17099,113866,113463,112882,112039,111241
17101,16916,16814,16698,16683,16519
17103,35970,35515,35141,34881,34735
17105,38853,38844,38535,38243,37903
17107,30283,30259,30003,29943,29746
17109,32596,32501,32545,32420,31880
17111,309114,307899,307775,307367,307283
17113,169843,170734,172418,174893,174061
